TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
CIENCIAETECNOLOGIA,Energia,qt1,Qual é o consumo de energia elétrica anual?,qt1.csv,codigo_v00.R,http://www.sim.salvador.ba.gov.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_cienciaetecnologia_energia,,Anual,Padrão,Consumo de energia elétrica em Salvador
CIENCIAETECNOLOGIA,Energia,qt2,Qual é o consumo de energia elétrica anual por classe?,qt2.csv,codigo_v01.R,http://www.sim.salvador.ba.gov.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_cienciaetecnologia_energia,,Anual,Barra lado a lado,Consumo de energia elétrica por classe em Salvador
CIENCIAETECNOLOGIA,Energia,qt3,Qual é o número de consumidores de energia elétrica por classe?,qt3.csv,codigo_v02.R,http://www.sim.salvador.ba.gov.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_cienciaetecnologia_energia,,Anual,Barra lado a lado,Número de consumidores de energia elétrica por classe em Salvador
