"TEMA";"SUBTEMA";"PERGUNTA";"NOME_ARQUIVO_JS"
"CIENCIAETECNOLOGIA";"Energia";"Qual é o consumo de energia elétrica anual?";"qt1.csv"
"CIENCIAETECNOLOGIA";"Energia";"Qual é o consumo de energia elétrica anual por classe?";"qt2.csv"
"CIENCIAETECNOLOGIA";"Energia";"Qual é o número de consumidores de energia elétrica por classe?";"qt3.csv"
